city,area,issue_type,department_name,phone,email
Hyderabad,Attapur,streetlight_or_electricity,GHMC Electrical Wing – Attapur,040-2329-6005,power.attapur@ghmc.gov.in
Hyderabad,Attapur,others,GHMC General Grievance – Attapur,040-2329-6006,grievance.attapur@ghmc.gov.in
Hyderabad,Rajendranagar,pothole_road_damage,GHMC Roads & Buildings – Rajendranagar,040-2329-7001,roads.rajendranagar@ghmc.gov.in
Hyderabad,Rajendranagar,garbage,GHMC Sanitation – Rajendranagar,040-2329-7002,sanitation.rajendranagar@ghmc.gov.in
Hyderabad,Rajendranagar,sewage_overflow,GHMC Sewerage – Rajendranagar,040-2329-7003,sewer.rajendranagar@ghmc.gov.in
Hyderabad,Rajendranagar,waterlogging,GHMC Disaster Management – Rajendranagar,040-2329-7004,disaster.rajendranagar@ghmc.gov.in
Hyderabad,Rajendranagar,streetlight_or_electricity,GHMC Electrical Wing – Rajendranagar,040-2329-7005,power.rajendranagar@ghmc.gov.in
Hyderabad,Rajendranagar,others,GHMC General Grievance – Rajendranagar,040-2329-7006,grievance.rajendranagar@ghmc.gov.in
Hyderabad,Hayathnagar,pothole_road_damage,GHMC Roads & Buildings – Hayathnagar,040-2329-8001,roads.hayathnagar@ghmc.gov.in
Hyderabad,Hayathnagar,garbage,GHMC Sanitation – Hayathnagar,040-2329-8002,sanitation.hayathnagar@ghmc.gov.in
Hyderabad,Hayathnagar,sewage_overflow,GHMC Sewerage – Hayathnagar,040-2329-8003,sewer.hayathnagar@ghmc.gov.in
Hyderabad,Hayathnagar,waterlogging,GHMC Disaster Management – Hayathnagar,040-2329-8004,disaster.hayathnagar@ghmc.gov.in
Hyderabad,Hayathnagar,streetlight_or_electricity,GHMC Electrical Wing – Hayathnagar,040-2329-8005,power.hayathnagar@ghmc.gov.in
Hyderabad,Hayathnagar,others,GHMC General Grievance – Hayathnagar,040-2329-8006,grievance.hayathnagar@ghmc.gov.in
Hyderabad,Amberpet,pothole_road_damage,GHMC Roads & Buildings – Amberpet,040-2329-9001,roads.amberpet@ghmc.gov.in
Hyderabad,Amberpet,garbage,GHMC Sanitation – Amberpet,040-2329-9002,sanitation.amberpet@ghmc.gov.in
Hyderabad,Amberpet,sewage_overflow,GHMC Sewerage – Amberpet,040-2329-9003,sewer.amberpet@ghmc.gov.in
Hyderabad,Amberpet,waterlogging,GHMC Disaster Management – Amberpet,040-2329-9004,disaster.amberpet@ghmc.gov.in
Hyderabad,Amberpet,streetlight_or_electricity,GHMC Electrical Wing – Amberpet,040-2329-9005,power.amberpet@ghmc.gov.in
Hyderabad,Amberpet,others,GHMC General Grievance – Amberpet,040-2329-9006,grievance.amberpet@ghmc.gov.in
Hyderabad,Ramanthapur,pothole_road_damage,GHMC Roads & Buildings – Ramanthapur,040-2330-0001,roads.ramanthapur@ghmc.gov.in
Hyderabad,Ramanthapur,garbage,GHMC Sanitation – Ramanthapur,040-2330-0002,sanitation.ramanthapur@ghmc.gov.in
Hyderabad,Ramanthapur,sewage_overflow,GHMC Sewerage – Ramanthapur,040-2330-0003,sewer.ramanthapur@ghmc.gov.in
Hyderabad,Ramanthapur,waterlogging,GHMC Disaster Management – Ramanthapur,040-2330-0004,disaster.ramanthapur@ghmc.gov.in
Hyderabad,Ramanthapur,streetlight_or_electricity,GHMC Electrical Wing – Ramanthapur,040-2330-0005,power.ramanthapur@ghmc.gov.in
Hyderabad,Ramanthapur,others,GHMC General Grievance – Ramanthapur,040-2330-0006,grievance.ramanthapur@ghmc.gov.in
Hyderabad,Champapet,pothole_road_damage,GHMC Roads & Buildings – Champapet,040-2330-1001,roads.champapet@ghmc.gov.in
Hyderabad,Champapet,garbage,GHMC Sanitation – Champapet,040-2330-1002,sanitation.champapet@ghmc.gov.in
Hyderabad,Champapet,sewage_overflow,GHMC Sewerage – Champapet,040-2330-1003,sewer.champapet@ghmc.gov.in
Hyderabad,Champapet,waterlogging,GHMC Disaster Management – Champapet,040-2330-1004,disaster.champapet@ghmc.gov.in
Hyderabad,Champapet,streetlight_or_electricity,GHMC Electrical Wing – Champapet,040-2330-1005,power.champapet@ghmc.gov.in
Hyderabad,Champapet,others,GHMC General Grievance – Champapet,040-2330-1006,grievance.champapet@ghmc.gov.in
Hyderabad,Lakdikapul,pothole_road_damage,GHMC Roads & Buildings – Lakdikapul,040-2330-2001,roads.lakdikapul@ghmc.gov.in
Hyderabad,Lakdikapul,garbage,GHMC Sanitation – Lakdikapul,040-2330-2002,sanitation.lakdikapul@ghmc.gov.in
Hyderabad,Lakdikapul,sewage_overflow,GHMC Sewerage – Lakdikapul,040-2330-2003,sewer.lakdikapul@ghmc.gov.in
Hyderabad,Lakdikapul,waterlogging,GHMC Disaster Management – Lakdikapul,040-2330-2004,disaster.lakdikapul@ghmc.gov.in
Hyderabad,Lakdikapul,streetlight_or_electricity,GHMC Electrical Wing – Lakdikapul,040-2330-2005,power.lakdikapul@ghmc.gov.in
Hyderabad,Lakdikapul,others,GHMC General Grievance – Lakdikapul,040-2330-2006,grievance.lakdikapul@ghmc.gov.in
Hyderabad,Chintal,pothole_road_damage,GHMC Roads & Buildings – Chintal,040-2330-3001,roads.chintal@ghmc.gov.in
Hyderabad,Chintal,garbage,GHMC Sanitation – Chintal,040-2330-3002,sanitation.chintal@ghmc.gov.in
Hyderabad,Chintal,sewage_overflow,GHMC Sewerage – Chintal,040-2330-3003,sewer.chintal@ghmc.gov.in
Hyderabad,Chintal,waterlogging,GHMC Disaster Management – Chintal,040-2330-3004,disaster.chintal@ghmc.gov.in
Hyderabad,Chintal,streetlight_or_electricity,GHMC Electrical Wing – Chintal,040-2330-3005,power.chintal@ghmc.gov.in
Hyderabad,Chintal,others,GHMC General Grievance – Chintal,040-2330-3006,grievance.chintal@ghmc.gov.in
Hyderabad,Jeedimetla,pothole_road_damage,GHMC Roads & Buildings – Jeedimetla,040-2330-4001,roads.jeedimetla@ghmc.gov.in
Hyderabad,Jeedimetla,garbage,GHMC Sanitation – Jeedimetla,040-2330-4002,sanitation.jeedimetla@ghmc.gov.in
Hyderabad,Jeedimetla,sewage_overflow,GHMC Sewerage – Jeedimetla,040-2330-4003,sewer.jeedimetla@ghmc.gov.in
Hyderabad,Jeedimetla,waterlogging,GHMC Disaster Management – Jeedimetla,040-2330-4004,disaster.jeedimetla@ghmc.gov.in
Hyderabad,Jeedimetla,streetlight_or_electricity,GHMC Electrical Wing – Jeedimetla,040-2330-4005,power.jeedimetla@ghmc.gov.in
Hyderabad,Jeedimetla,others,GHMC General Grievance – Jeedimetla,040-2330-4006,grievance.jeedimetla@ghmc.gov.in
Hyderabad,Quthbullapur,pothole_road_damage,GHMC Roads & Buildings – Quthbullapur,040-2330-5001,roads.quthbullapur@ghmc.gov.in
Hyderabad,Quthbullapur,garbage,GHMC Sanitation – Quthbullapur,040-2330-5002,sanitation.quthbullapur@ghmc.gov.in
Hyderabad,Quthbullapur,sewage_overflow,GHMC Sewerage – Quthbullapur,040-2330-5003,sewer.quthbullapur@ghmc.gov.in
Hyderabad,Quthbullapur,waterlogging,GHMC Disaster Management – Quthbullapur,040-2330-5004,disaster.quthbullapur@ghmc.gov.in
Hyderabad,Quthbullapur,streetlight_or_electricity,GHMC Electrical Wing – Quthbullapur,040-2330-5005,power.quthbullapur@ghmc.gov.in
Hyderabad,Quthbullapur,others,GHMC General Grievance – Quthbullapur,040-2330-5006,grievance.quthbullapur@ghmc.gov.in
